channel names:	
02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai0	02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai1
start times:	
2/17/2012 14:39:22.500000	2/17/2012 14:39:22.500011
dt:	
0.001000	
data:	
3.727403E-2	-3.356210E-2
3.118075E-2	-3.066452E-2
2.893585E-2	-3.645968E-2
3.502913E-2	-3.259624E-2
3.053935E-2	-3.839140E-2
3.246354E-2	-3.549382E-2
3.502913E-2	-3.517187E-2
3.663263E-2	-3.066452E-2
3.534983E-2	-2.422546E-2
3.727403E-2	-2.905476E-2
3.246354E-2	-1.134733E-2
3.567053E-2	-1.070343E-2
3.567053E-2	-2.583523E-2
3.438774E-2	-1.617663E-2
2.893585E-2	-1.778640E-2
3.214284E-2	-2.519132E-2
3.278424E-2	4.106417E-3
3.310494E-2	-2.519132E-2
3.310494E-2	-1.971812E-2
2.925655E-2	9.901574E-3
3.310494E-2	-1.070343E-2
3.150145E-2	-5.230225E-3
3.118075E-2	1.151134E-2
2.925655E-2	1.530792E-3
3.086005E-2	7.969855E-3
3.214284E-2	-9.415616E-3
3.150145E-2	-2.010693E-3
3.150145E-2	-7.805850E-3
2.733236E-2	-1.166929E-2
3.118075E-2	-6.196084E-3
3.567053E-2	-8.449756E-3
2.925655E-2	-1.327905E-2
2.829446E-2	-4.586318E-3
2.989795E-2	-7.228803E-4
2.669096E-2	-8.449756E-3
3.182214E-2	4.428370E-3
2.765306E-2	4.750323E-3
2.957725E-2	-1.102538E-2
3.021865E-2	-4.908271E-3
2.989795E-2	-4.009272E-4
3.727403E-2	-9.737569E-3
3.342564E-2	2.567728E-2
3.342564E-2	-5.230225E-3
3.791542E-2	-9.093662E-3
3.246354E-2	1.408697E-2
3.406704E-2	-8.771709E-3
3.150145E-2	-2.332646E-3
3.567053E-2	1.054548E-2
3.406704E-2	-9.093662E-3
3.214284E-2	-1.327905E-2
3.823612E-2	-2.229374E-2
3.502913E-2	-1.585468E-2
3.182214E-2	-2.004007E-2
3.663263E-2	-2.325960E-2
3.663263E-2	-2.261569E-2
3.182214E-2	-2.390351E-2
3.374634E-2	-2.132788E-2
3.919822E-2	-1.778640E-2
3.919822E-2	-6.839990E-3
3.951892E-2	-1.521077E-2
4.176381E-2	1.208839E-3
4.497080E-2	7.325949E-3
3.791542E-2	-5.552178E-3
3.887752E-2	1.440892E-2
